"package","version","hash","package@version","reproducible","analysis","decision-tree","naive-bayes","svm","hash_classifier","","","","","","","","","","","","","","","","","",""
"@btwiuse/subrepl","0.0.1","db42ba6bab03d8ea9743ecd2ac433dfa","@btwiuse/subrepl@0.0.1","no","benign","No","Yes","No","No","","","","","","","","","","","","","","","","","",""
"@cyberrun/core","0.0.1-alpha.1","697ca33465b02a52aca7163db9b39e28","@cyberrun/core@0.0.1-alpha.1","no","benign","No","No","Yes","No","","","","","","","","","","","","","","","","","",""
"@doreply/client","1.1.2","bd5831e434b6b4bb7c463599702bdde4","@doreply/client@1.1.2","no","benign","Yes","No","No","No","","","","","","","","","","","","","","","","","",""
"@gogoleo/leo-cli","1.0.11","e25ba3745ae6ba35386e1c3f7ab1a449","@gogoleo/leo-cli@1.0.11","no","benign","Yes","No","No","No","","","","","","","","","","","","","","","","","",""
"@humandone/utm-params","1.0.1","87d13d4074b4ff95e6c8d9d751258c02","@humandone/utm-params@1.0.1","no","benign","No","Yes","No","No","","","","","","","","","","","","","","","","","",""
"@imdt-os/url-tail","0.0.2","2a84167722b62cd14dd563f4e47bec6e","@imdt-os/url-tail@0.0.2","no","benign","Yes","No","No","No","","","","","","","","","","","","","","","","","",""
"@itentialopensource/adapter-cyberark","0.1.1","edffa39166d79487c66fb7411fcc7fd5","@itentialopensource/adapter-cyberark@0.1.1","no","benign","No","Yes","No","No","","","","","","","","","","","","","","","","","",""
"@itentialopensource/adapter-netbox_v210","0.1.1","5aeb3c80386aa60f48b8412e90c17316","@itentialopensource/adapter-netbox_v210@0.1.1","no","benign","No","Yes","No","No","","","","","","","","","","","","","","","","","",""
"@jacekpietal/dependency-injection","1.3.1","fa57fcb4a04b3152a921c19981e68fe1","@jacekpietal/dependency-injection@1.3.1","no","benign","Yes","No","No","No","","","","","","","","","","","","","","","","","",""
"@jonpetrie/ace","1.0.0","8e2633746a15613ff595d6fd480302d6","@jonpetrie/ace@1.0.0","no","benign","No","Yes","No","No","","","","","","","","","","","","","","","","","",""
"@pqstudio/pq_serializer","1.1.24","7e2ffaa520db535ea7cc6a5fa28572cf","@pqstudio/pq_serializer@1.1.24","no","benign","Yes","No","No","No","","","","","","","","","","","","","","","","","",""
"@recogito/annotorious-tilted-box","0.1.2","ff8052c797c8050a2c7397d15b3fd014","@recogito/annotorious-tilted-box@0.1.2","no","benign","Yes","No","No","No","","","","","","","","","","","","","","","","","",""
"@tsaspc/node-occ","1.0.2","d7880cbd263ca1bece78bebfc78ece89","@tsaspc/node-occ@1.0.2","no","benign","No","Yes","No","No","","","","","","","","","","","","","","","","","",""
"apply-clients","7.1.1","51885067480f68d9791dc5f9dcd071b1","apply-clients@7.1.1","no","benign","Yes","No","No","No","","","","","","","","","","","","","","","","","",""
"baguette-api","2.0.0-rc.3","4f820b1188c1f841a61f004de8b54c58","baguette-api@2.0.0-rc.3","no","benign","Yes","No","No","No","","","","","","","","","","","","","","","","","",""
"chall","1.0.0","eb1cea02dc7aa5b1347b5deb40555e2c","chall@1.0.0","no","benign","No","No","Yes","No","","","","","","","","","","","","","","","","","",""
"djs-linereply","1.0.0","96a76685a10128361ddf1c712b101a7b","djs-linereply@1.0.0","no","benign","No","No","Yes","No","","","","","","","","","","","","","","","","","",""
"dsr-package-phage-betid-delph-strip","1.0.1","4665de4f5a63a4f74125bea427e2d75a","dsr-package-phage-betid-delph-strip@1.0.1","no","benign","No","No","Yes","No","","","","","","","","","","","","","","","","","",""
"dsr-package-upbye-grebe-nappy-drown","1.0.1","f8541d5c9b6cad6babc23e089e1bf144","dsr-package-upbye-grebe-nappy-drown@1.0.1","no","benign","No","No","Yes","No","","","","","","","","","","","","","","","","","",""
"eslint-plugin-i18n2","0.0.1-alpha.1","d367fa164ffff13fcc5f5948e9174daa","eslint-plugin-i18n2@0.0.1-alpha.1","yes","benign","No","Yes","No","No","","","","","","","","","","","","","","","","","",""
"express-notes-professional","1.0.0","6850b3fb6a1c4b933a6752289e7aa1ca","express-notes-professional@1.0.0","no","benign","No","No","Yes","No","","","","","","","","","","","","","","","","","",""
"f5-logger","9.0.0","e00dae369d0d798a5d3a263cbe56b4ab","f5-logger@9.0.0","no","malicious","No","Yes","No","No","","","","","","","","","","","","","","","","","",""
"iuhoay-test-package","1.0.0","53d8b97a80db08e2759f330fc4ba3d79","iuhoay-test-package@1.0.0","no","benign","No","No","Yes","No","","","","","","","","","","","","","","","","","",""
"nuget.moq","1.0.0","b5d431a472cd36878770272504cad7fe","nuget.moq@1.0.0","no","malicious","No","Yes","No","No","","","","","","","","","","","","","","","","","",""
"pf-react-vertical-timeline-component","0.0.1","fa80f9d06ed45fc875d058bbcd630f35","pf-react-vertical-timeline-component@0.0.1","no","benign","Yes","Yes","No","No","","","","","","","","","","","","","","","","","",""
"qpeuor","1.0.2","d01655e54e67b287920d95ab16138a8e","qpeuor@1.0.2","no","benign","Yes","No","No","No","","","","","","","","","","","","","","","","","",""
"react-performance-context","0.0.5","c7d4d4e1836cf2744e3e984984be2818","react-performance-context@0.0.5","yes ","benign","Yes","No","No","No","","","","","","","","","","","","","","","","","",""
"robloxapis","1.2.1","097b179d1fe52a1b03817c433c839da2","robloxapis@1.2.1","no","benign","No","Yes","No","No","","","","","","","","","","","","","","","","","",""
"s-chips","0.0.0","eb1cea02dc7aa5b1347b5deb40555e2c","s-chips@0.0.0","no","benign","No","No","Yes","No","","","","","","","","","","","","","","","","","",""
"searchcursor","1.0.0","9b5b1594bfea8c3927c45ee9e2b42da9","searchcursor@1.0.0","no","malicious","Yes","Yes","No","Yes","","","","","","","","","","","","","","","","","",""
"sonr-electron","0.12.21","d626b42605ec094e4e6110880351d7da","sonr-electron@0.12.21","no","benign","No","Yes","No","No","","","","","","","","","","","","","","","","","",""
"strapi-plugin-searchqueries","1.0.0","ed733e4d09754c683fdf173fc2fbfb0f","strapi-plugin-searchqueries@1.0.0","no","benign","No","No","Yes","No","","","","","","","","","","","","","","","","","",""
"testpkg-new","1.0.0","c664ea2008227b135b6adf907cf9bcd0","testpkg-new@1.0.0","no","benign","No","No","Yes","No","","","","","","","","","","","","","","","","","",""
"textgraphic","0.0.5","fc456f9716f495054d002ca69bd6034b","textgraphic@0.0.5","no ","benign","Yes","No","No","No","","","","","","","","","","","","","","","","","",""
"truth-helpers","1.0.1","N/A","truth-helpers@1.0.1","no","benign","No","Yes","No","No","","","","","","","","","","","","","","","","","",""
"use-object-context","0.0.9","ec4cba74d32dac401a8bf1fe6ab39143","use-object-context@0.0.9","no","benign","Yes","No","No","No","","","","","","","","","","","","","","","","","",""
"vue-dadan-extension","0.2.0","N/A","vue-dadan-extension@0.2.0","no","benign","Yes","No","No","No","","","","","","","","","","","","","","","","","",""
"vue-smooth","1.0.0","9502c07f47d38b2ad3cc1c358b86a24e","vue-smooth@1.0.0","no","malicious","Yes","Yes","No","No","","","","","","","","","","","","","","","","","",""
"wangking","1.0.4","a7a53601f63ee30aae271d0b1df2d56c","wangking@1.0.4","no","benign","Yes","No","No","No","","","","","","","","","","","","","","","","","",""
"xgplayer-flv-live","2.4.32","1797f4bc433337f7c46c1bddd927eeb2","xgplayer-flv-live@2.4.32","no","benign","Yes","No","No","No","","","","","","","","","","","","","","","","","",""
"xgplayer-hls-live","2.4.32","0e006ba3c7070fbbd24fd9a6f84b88d9","xgplayer-hls-live@2.4.32","no","benign","Yes","No","No","No","","","","","","","","","","","","","","","","","",""
"yumi_js_sdk","1.0.1-7094bd","e3ccff9212f072c6266875f74d4865e5","yumi_js_sdk@1.0.1-7094bd","no","benign","No","Yes","No","No","","","","","","","","","","","","","","","","","",""
