"package","version","hash","package@version","reproducible","analysis","decision-tree","naive-bayes","svm","hash_classifier","","","","","","","","","","","","","","","","","",""
"@caldwell619/red-five","0.0.1","5b6cb9815212180eee38147d5c2986dc","@caldwell619/red-five@0.0.1","no","benign","No","Yes","No","No","","","","","","","","","","","","","","","","","",""
"@firestitch/codegenerator","7.4.0-beta.0","179319e248154da9d69e15e4b377d12f","@firestitch/codegenerator@7.4.0-beta.0","no","benign","Yes","No","No","No","","","","","","","","","","","","","","","","","",""
"@footron/controls-client","0.1.9","80862ec6eb27b7261c2ea192cc224ca2","@footron/controls-client@0.1.9","no","benign","Yes","No","No","No","","","","","","","","","","","","","","","","","",""
"@gedit/monaco-contextkey","0.1.15","6905bb3a2ea1ac20e082d595364c77ca","@gedit/monaco-contextkey@0.1.15","no","benign","Yes","No","No","No","","","","","","","","","","","","","","","","","",""
"@iadvize-oss/store-devtools","1.1.1-canary-4c7308e-1627610534233","585f2604d6b3a336f7773f84f6870a44","@iadvize-oss/store-devtools@1.1.1-canary-4c7308e-1627610534233","yes","benign","No","No","Yes","No","","","","","","","","","","","","","","","","","",""
"@jaynishb/jaynish","1.0.0","44c3583066d8361b6a089070bb37975c","@jaynishb/jaynish@1.0.0","no","benign","Yes","No","No","No","","","","","","","","","","","","","","","","","",""
"@mathsgod/create-test-app","1.0.0","fcbb032ab4d10c5f1d057b9b9ffb09e4","@mathsgod/create-test-app@1.0.0","no","benign","No","No","Yes","No","","","","","","","","","","","","","","","","","",""
"@snx-flash-tool/contracts","1.0.1","e6e6ee9635fe7c1dfb907969626a1793","@snx-flash-tool/contracts@1.0.1","no","benign","No","No","Yes","No","","","","","","","","","","","","","","","","","",""
"@strapi/plugin-sentry","4.0.0-next.0","1b3112b85f4bce41fc155f9adab0a168","@strapi/plugin-sentry@4.0.0-next.0","no","benign","No","No","Yes","No","","","","","","","","","","","","","","","","","",""
"@strapi/strapi","4.0.0-next.0","3bb5461f76f9fd5e93ae873d1f8c9e1a","@strapi/strapi@4.0.0-next.0","no","benign","No","Yes","No","No","","","","","","","","","","","","","","","","","",""
"@uoe/edgel","5.0.0-alpha.6","db719aff4228b9e732307974a6630f04","@uoe/edgel@5.0.0-alpha.6","no","benign","Yes","No","No","No","","","","","","","","","","","","","","","","","",""
"@yli1r/themekit","1.1.9","a7c252a065a053bf13490d2488ffac7d","@yli1r/themekit@1.1.9","no","benign","No","Yes","No","No","","","","","","","","","","","","","","","","","",""
"bandwidth-usage-tracker","0.1.0","e1a9691c25c3a005c543a638eb1bd93b","bandwidth-usage-tracker@0.1.0","no","benign","Yes","No","No","No","","","","","","","","","","","","","","","","","",""
"china-geo-data-json","1.0.0","11438388323a36bb22e4bc9016268ef5","china-geo-data-json@1.0.0","no","benign","No","No","Yes","No","","","","","","","","","","","","","","","","","",""
