"package","version","hash","package@version","reproducible","analysis","decision-tree","naive-bayes","svm","hash_classifier","","","","","","","","","","","","","","","","",""
"@dailynexus/create-starter","0.0.6","2cc993ef598c19d2f46c00092b55e02c","@dailynexus/create-starter@0.0.6","no","benign","Yes","No","No","No","","","","","","","","","","","","","","","","",""
"@fluffy-mods/mod-cli","1.0.1","05596c52f73784d37610e965cd7ed3d4","@fluffy-mods/mod-cli@1.0.1","no","benign","Yes","No","No","No","","","","","","","","","","","","","","","","",""
"@kloak-it/qtgate-server","0.2.1","38590d080fb9a5d31f31ba9315d153d3","@kloak-it/qtgate-server@0.2.1","no","benign","Yes","No","No","No","","","","","","","","","","","","","","","","",""
"@naugtur/callhome","0.0.2-1","a2b0f765f90eba09f3c8ccf4167980a3","@naugtur/callhome@0.0.2-1","no","malicious","No","No","Yes","No","","","","","","","","","","","","","","","","",""
"@naugtur/callhome","0.0.2-2","a2b0f765f90eba09f3c8ccf4167980a3","@naugtur/callhome@0.0.2-2","no","malicious","No","No","Yes","No","","","","","","","","","","","","","","","","",""
"@naugtur/callhome","0.0.2-3","a2b0f765f90eba09f3c8ccf4167980a3","@naugtur/callhome@0.0.2-3","no","malicious","No","No","Yes","No","","","","","","","","","","","","","","","","",""
"@naugtur/callhome","0.0.2-4","a2b0f765f90eba09f3c8ccf4167980a3","@naugtur/callhome@0.0.2-4","no","malicious","No","No","Yes","No","","","","","","","","","","","","","","","","",""
"@naugtur/callhome","0.0.2-5","a2b0f765f90eba09f3c8ccf4167980a3","@naugtur/callhome@0.0.2-5","no","malicious","No","No","Yes","No","","","","","","","","","","","","","","","","",""
"@naugtur/callhome","0.0.2-6","a2b0f765f90eba09f3c8ccf4167980a3","@naugtur/callhome@0.0.2-6","no","malicious","No","No","Yes","No","","","","","","","","","","","","","","","","",""
"@naugtur/callhome","0.0.2-7","a2b0f765f90eba09f3c8ccf4167980a3","@naugtur/callhome@0.0.2-7","no","malicious","No","No","Yes","No","","","","","","","","","","","","","","","","",""
"@naugtur/callhome","0.0.2-8","a2b0f765f90eba09f3c8ccf4167980a3","@naugtur/callhome@0.0.2-8","no","malicious","No","No","Yes","No","","","","","","","","","","","","","","","","",""
"@naugtur/callhome","0.0.2-9","a2b0f765f90eba09f3c8ccf4167980a3","@naugtur/callhome@0.0.2-9","no","malicious","No","No","Yes","No","","","","","","","","","","","","","","","","",""
"@pikenote/pike-trie-cli","1.0.0","5449345167cf79fff614bbfdffd34abd","@pikenote/pike-trie-cli@1.0.0","","benign","Yes","No","No","No","","","","","","","","","","","","","","","","",""
"@pqstudio/pq_fsm","1.1.22","971c781f68dcdd704f9e030c77a5de89","@pqstudio/pq_fsm@1.1.22","no","benign","Yes","No","No","No","","","","","","","","","","","","","","","","",""
"@quenty/isamixin","1.0.3-canary.199.0aa72ba.0","a1ab86607d0e2c74f44407d908bb089c","@quenty/isamixin@1.0.3-canary.199.0aa72ba.0","no","benign","Yes","No","No","No","","","","","","","","","","","","","","","","",""
"@quenty/overriddenproperty","1.0.3-canary.199.b271c6e.0","3a10cba42865956263e04aafad6bd85a","@quenty/overriddenproperty@1.0.3-canary.199.b271c6e.0","no","benign","Yes","No","No","No","","","","","","","","","","","","","","","","",""
"@quenty/table","1.0.3-canary.199.0aa72ba.0","3b7acad1e2821dd799944cb28d4c6db6","@quenty/table@1.0.3-canary.199.0aa72ba.0","no","benign","Yes","No","No","No","","","","","","","","","","","","","","","","",""
"@sbbol/business","1.9999.0","8c63850f48ff3ef073837ac335ae5510","@sbbol/business@1.9999.0","no","malicious","Yes","No","No","No","","","","","","","","","","","","","","","","",""
"@sbbol/business","2.9999.0","8c63850f48ff3ef073837ac335ae5510","@sbbol/business@2.9999.0","no","malicious","Yes","No","Yes","No","","","","","","","","","","","","","","","","",""
"@sbbol/business","3.9999.0","8c63850f48ff3ef073837ac335ae5510","@sbbol/business@3.9999.0","no","malicious","Yes","No","No","No","","","","","","","","","","","","","","","","",""
"@sbbol/business","5.9999.0","8c63850f48ff3ef073837ac335ae5510","@sbbol/business@5.9999.0","no","malicious","Yes","No","Yes","No","","","","","","","","","","","","","","","","",""
"@sbbol/business","9999.9999.0","8c63850f48ff3ef073837ac335ae5510","@sbbol/business@9999.9999.0","no","malicious","Yes","No","No","No","","","","","","","","","","","","","","","","",""
"@sbbol/common","1.9999.0","8c63850f48ff3ef073837ac335ae5510","@sbbol/common@1.9999.0","no","malicious","Yes","No","No","No","","","","","","","","","","","","","","","","",""
"@sbbol/common","2.9999.0","8c63850f48ff3ef073837ac335ae5510","@sbbol/common@2.9999.0","no","malicious","Yes","No","No","No","","","","","","","","","","","","","","","","",""
"@sbbol/common","3.9999.0","8c63850f48ff3ef073837ac335ae5510","@sbbol/common@3.9999.0","no","malicious","Yes","No","Yes","No","","","","","","","","","","","","","","","","",""
"@sbbol/common","4.9999.0","8c63850f48ff3ef073837ac335ae5510","@sbbol/common@4.9999.0","no","malicious","Yes","No","Yes","No","","","","","","","","","","","","","","","","",""
"@sbbol/common","5.9999.0","8c63850f48ff3ef073837ac335ae5510","@sbbol/common@5.9999.0","no","malicious","Yes","No","Yes","No","","","","","","","","","","","","","","","","",""
"@sbbol/common","9999.9999.0","8c63850f48ff3ef073837ac335ae5510","@sbbol/common@9999.9999.0","no","malicious","Yes","No","Yes","No","","","","","","","","","","","","","","","","",""
"@sbbol/icons","9999.9999.0","8c63850f48ff3ef073837ac335ae5510","@sbbol/icons@9999.9999.0","no","malicious","Yes","No","No","No","","","","","","","","","","","","","","","","",""
